Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
CAS AH 398,Global Modern and Contemporary Architecture,,"Undergraduate prerequisites: CASAH 201 and CASAH 205 are recommended. This course provides an introduction to major developments in architecture and urban planning from the 19th century to the present. It challenges canonical history of architecture by showcasing global perspectives on and struggles for/against modernity, colonialism, decolonization, nationalism, and more.",,,X,,,,,,,,X,,,,,X,,,
CAS AH 399,History and Theory of Landscape Architecture,"First Year Writing Seminar (e.g., WR 100 or WR 120).","Explores man's relationship with nature by a study of selected built environments from antiquity to the present. Focus on both the private garden and the public park--here considered as works of art--and their changing forms, meaning, and interpretations.",,X,,,,,,,,,X,,X,,,,,,
CAS AH 404,Seminar: Topics in Museum Exhibits,consent of instructor.,"May be repeated for credit as topics change. Considers and uses the methods and tools of curators and other museum professionals in gallery arrangement and exhibition-making. Taught around specific projects, with visits to museums and meetings with practitioners as can be arranged.",,,,,,,,,,,,,,,,,,,
CAS AH 486,Architecture Capstone,,"This course guides senior and eligible junior architectural studies majors through a capstone experience, which may be an internship or a research project. Open only by application. Interested students contact Professor Abramson by Nov. 1, 2025.",,,,,,,,,,X,,X,,,,,,,
CAS AH 500,Topics in History of Art & Architecture,,"May be repeated for credit as topics change. Two topics are offered Fall 2025. Section A1: Methods and Inquiry in Architectural Studies. This seminar explores diverse research methods in architecture studies and history, covering archival, photographic, ethnographic, and more. Students engage with readings and exercises to understand various intellectual debates and methodologies, fulfilling the methods requirement. Section B1: Asian Art Seminar.",,,,,,,,,,,,,,,,,,,
CAS AH 502,Practicum in Museum Studies,"consent of the Director of Museum Studies, and stamped approval; prior museum/gallery experience an asset.","Graduate Prerequisites: consent of Director of Museum Studies, and stamped approval; prior mus eum/gallery experience an asset. Graduate internships must be taken in a non-profit institution in order to count for credit. - Centered on an internship, which must comprise a supervised project approved in advance by the Director of Museum Studies. Stamped approval prior to the internship is necessary for registration in the course. Internships in Boston-area museums, galleries, historical agencies, and houses arranged for advanced undergraduate and graduate students, 10-12 hours per week (150 hours per semester) at the host institution, with written report.",,,,,,,,,,,,,,,,,,,
CAS AH 507,"Digital Curation: Towards National Parks: Art and Nature, Nature and Nation",,"Prerequisite: CASAH 112, or at least one course on art or literature in Europe/US 1300-1750 or 1750-present. - Before national parks, wild locations attracted artists, photographers and poets. Their works made these areas known to tourist-viewers. Prepare a digital exhibition and map artist- advocates as they explored mountains, forests and waterfalls.",,X,,,,,,,,,,,,,X,,,,X
CAS AH 520,The Museum and The Historical Agency,,"History, present realities, and future possibilities of museums and historical agencies, using Boston's excellent examples. Issues and debates confronting museums today examined in the light of historical development and changing communities. Emphasis on collecting, display and interpretation.",,,,,,,,,,,,,,,,,,,
CAS AH 521,Curatorship,consent of instructor.,Graduate Prerequisites: consent of instructor. Introduces students to curatorial strategies and the pragmatics of exhibition-making.,,,,,,,,,,,,,,,,,,,
CAS AH 525,American Cultural Landscape Studies,junior standing or consent of instructor.,This seminar provides an introduction to analyzing and interpreting American cultural landscapes and acquaints students with the historiography of interdisciplinary study of the built environment. Also offered as CAS AM 525.,,,,,,,,,,,,,,,,,,,
